Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
1	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R1C1	2006-10-26 09:51:58.0	2006-10-26 09:52:30.0	2006-10-26 09:53:30.0	2006-10-26 09:53:30.0	92		92	0	2	0	1		
2	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R1C2	2006-10-26 09:53:30.0	2006-10-26 09:53:41.0	2006-10-26 09:53:41.0	2006-10-26 09:53:41.0	11	11		1	0	0	1		
3	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R2C1	2006-10-26 09:53:41.0	2006-10-26 09:53:46.0	2006-10-26 09:53:46.0	2006-10-26 09:53:46.0	5	5		1	0	0	1	Identifying units	1
4	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R2C2	2006-10-26 09:53:46.0	2006-10-26 09:53:50.0	2006-10-26 09:53:50.0	2006-10-26 09:53:50.0	4	4		1	0	0	1	Identifying units	2
5	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R4C1	2006-10-26 09:53:50.0	2006-10-26 09:54:05.0	2006-10-26 09:54:05.0	2006-10-26 09:54:05.0	15	15		1	0	0	1	Entering a given	1
6	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R4C2	2006-10-26 09:54:05.0	2006-10-26 09:54:20.0	2006-10-26 09:54:41.0	2006-10-26 09:54:41.0	36		36	0	2	0	1	Find Y, any form	1
7	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R5C1	2006-10-26 09:54:41.0	2006-10-26 09:54:57.0	2006-10-26 09:54:57.0	2006-10-26 09:54:57.0	16	16		1	0	0	1	Entering a given	2
8	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R5C2	2006-10-26 09:54:57.0	2006-10-26 09:55:16.0	2006-10-26 09:55:53.0	2006-10-26 09:55:53.0	56		56	0	2	1	1	Find Y, any form	2
9	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R6C1	2006-10-26 09:55:53.0	2006-10-26 09:56:12.0	2006-10-26 09:56:12.0	2006-10-26 09:56:12.0	19	19		1	0	0	1	Entering a given	3
10	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R6C2	2006-10-26 09:56:12.0	2006-10-26 09:56:15.0	2006-10-26 09:56:15.0	2006-10-26 09:56:15.0	3	3		1	0	0	1	Find Y, any form	3
11	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	GeneralHelpGoalNode	2006-10-26 09:58:15.0	2006-10-26 09:58:21.0		2006-10-26 09:58:31.0	16		16	0	0	0	0		
12	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R3C1	2006-10-26 09:56:15.0	2006-10-26 09:58:01.0	2006-10-26 09:59:23.0	2006-10-26 09:59:23.0	172		172	0	6	1	1	Define Variable	1
13	JG4Tz	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R3C2	2006-10-26 09:59:23.0	2006-10-26 09:59:30.0	2006-10-26 09:59:30.0	2006-10-26 09:59:30.0	7	7		1	0	0	1	Write expression, any form	1
14	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R1C1	2006-10-26 09:59:35.0	2006-10-26 09:59:46.0	2006-10-26 10:00:05.0	2006-10-26 10:00:05.0	20.5		20.5	0	1	0	1		
15	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R2C1	2006-10-26 09:59:46.0	2006-10-26 10:00:05.0	2006-10-26 10:00:05.0	2006-10-26 10:00:05.0	9.5	9.5		1	0	0	1		
16	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R1C2	2006-10-26 10:00:05.0	2006-10-26 10:00:09.0	2006-10-26 10:00:43.0	2006-10-26 10:00:43.0	19.5		19.5	0	0	1	1		
17	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R2C2	2006-10-26 10:00:12.0	2006-10-26 10:00:43.0	2006-10-26 10:00:43.0	2006-10-26 10:00:43.0	15.5	15.5		1	0	0	1		
18	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	GeneralHelpGoalNode	2006-10-26 10:00:09.0	2006-10-26 10:00:12.0		2006-10-26 10:01:12.0	10		10	0	0	0	0		
19	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R4C1	2006-10-26 10:00:43.0	2006-10-26 10:01:00.0	2006-10-26 10:01:18.0	2006-10-26 10:01:18.0	28		28	0	2	1	1	Entering a given	4
20	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R4C2	2006-10-26 10:01:18.0	2006-10-26 10:01:23.0	2006-10-26 10:01:56.0	2006-10-26 10:01:56.0	34		34	0	4	1	1	Find Y, any form	4
21	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R5C1	2006-10-26 10:01:38.0	2006-10-26 10:01:40.0	2006-10-26 10:02:03.0	2006-10-26 10:02:03.0	11		11	0	2	0	1	Entering a given	5
22	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R5C2	2006-10-26 10:02:03.0	2006-10-26 10:03:00.0	2006-10-26 10:03:49.0	2006-10-26 10:03:49.0	106		106	0	2	0	1	Find Y, any form	5
23	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R3C1	2006-10-26 10:03:49.0	2006-10-26 10:03:52.0	2006-10-26 10:03:52.0	2006-10-26 10:03:52.0	3	3		1	0	0	1	Define Variable	2
24	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T22A	1	R3C2	2006-10-26 10:03:52.0	2006-10-26 10:03:59.0	2006-10-26 10:04:11.0	2006-10-26 10:04:11.0	19		19	0	1	1	1	Write expression, any form	2
25	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R1C1	2006-10-26 10:04:14.0	2006-10-26 10:04:25.0	2006-10-26 10:04:25.0	2006-10-26 10:04:25.0	5.5	5.5		1	0	0	1		
26	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R2C1	2006-10-26 10:04:14.0	2006-10-26 10:04:25.0	2006-10-26 10:04:25.0	2006-10-26 10:04:25.0	5.5	5.5		1	0	0	1		
27	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R1C2	2006-10-26 10:04:25.0	2006-10-26 10:04:32.0	2006-10-26 10:04:32.0	2006-10-26 10:04:32.0	7	7		1	0	0	1		
28	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R2C2	2006-10-26 10:04:32.0	2006-10-26 10:05:08.0	2006-10-26 10:05:08.0	2006-10-26 10:05:08.0	36	36		1	0	0	1	Identifying units	3
29	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R4C1	2006-10-26 10:05:08.0	2006-10-26 10:05:20.0	2006-10-26 10:05:40.0	2006-10-26 10:05:40.0	32		32	0	2	1	1	Entering a given	6
30	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R4C2	2006-10-26 10:05:40.0	2006-10-26 10:05:45.0	2006-10-26 10:05:45.0	2006-10-26 10:05:45.0	5	5		1	0	0	1	Find Y, any form	6
31	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R5C1	2006-10-26 10:05:45.0	2006-10-26 10:05:55.0	2006-10-26 10:05:55.0	2006-10-26 10:05:55.0	10	10		1	0	0	1	Entering a given	7
32	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R5C2	2006-10-26 10:05:55.0	2006-10-26 10:06:01.0	2006-10-26 10:06:01.0	2006-10-26 10:06:01.0	6	6		1	0	0	1	Find Y, any form	7
33	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R6C1	2006-10-26 10:06:01.0	2006-10-26 10:06:12.0	2006-10-26 10:06:12.0	2006-10-26 10:06:12.0	11	11		1	0	0	1	Find X, any form	1
34	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R6C2	2006-10-26 10:06:12.0	2006-10-26 10:06:14.0	2006-10-26 10:06:14.0	2006-10-26 10:06:14.0	2	2		1	0	0	1	Entering a given	8
35	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R3C1	2006-10-26 10:06:14.0	2006-10-26 10:06:16.0	2006-10-26 10:06:16.0	2006-10-26 10:06:16.0	2	2		1	0	0	1	Define Variable	3
36	JG4Tz	Unit CTA1_01, Section CTA1_01-2	RXMX1C	1	R3C2	2006-10-26 10:06:16.0	2006-10-26 10:06:21.0	2006-10-26 10:06:21.0	2006-10-26 10:06:21.0	5	5		1	0	0	1	Write expression, any form	3
37	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R1C1	2006-10-26 10:06:25.0	2006-10-26 10:06:44.0	2006-10-26 10:06:52.0	2006-10-26 10:06:52.0	27		27	0	1	0	1		
38	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R1C2	2006-10-26 10:06:52.0	2006-10-26 10:07:01.0	2006-10-26 10:07:28.0	2006-10-26 10:07:28.0	33		33	0	0	1	1		
39	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R2C1	2006-10-26 10:07:28.0	2006-10-26 10:07:34.0	2006-10-26 10:08:12.0	2006-10-26 10:08:12.0	41		41	0	2	2	1	Identifying units	4
40	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R2C2	2006-10-26 10:08:12.0	2006-10-26 10:08:18.0	2006-10-26 10:08:28.0	2006-10-26 10:08:28.0	15		15	0	0	1	1	Identifying units	5
41	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R4C1	2006-10-26 10:08:28.0	2006-10-26 10:08:59.0	2006-10-26 10:09:59.0	2006-10-26 10:09:59.0	87		87	0	2	2	1	Entering a given	9
42	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R4C2	2006-10-26 10:09:59.0	2006-10-26 10:10:01.0	2006-10-26 10:10:29.0	2006-10-26 10:10:29.0	16		16	0	0	1	1	Find Y, any form	8
43	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R5C1	2006-10-26 10:10:29.0	2006-10-26 10:10:42.0	2006-10-26 10:11:39.0	2006-10-26 10:11:39.0	70		70	0	1	0	1	Entering a given	10
44	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R5C2	2006-10-26 10:11:39.0	2006-10-26 10:11:40.0	2006-10-26 10:11:40.0	2006-10-26 10:11:40.0	1	1		1	0	0	1	Find Y, any form	9
45	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	GeneralHelpGoalNode	2006-10-26 10:07:01.0	2006-10-26 10:07:04.0		2006-10-26 10:13:37.0	38		38	0	0	0	0		
46	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R6C1	2006-10-26 10:11:40.0	2006-10-26 10:13:22.0	2006-10-26 10:13:43.0	2006-10-26 10:13:43.0	110		110	0	1	1	1	Entering a given	11
47	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R6C2	2006-10-26 10:13:43.0	2006-10-26 10:13:47.0	2006-10-26 10:13:47.0	2006-10-26 10:13:47.0	4	4		1	0	0	1	Find Y, any form	10
48	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R3C1	2006-10-26 10:13:47.0	2006-10-26 10:13:50.0	2006-10-26 10:13:50.0	2006-10-26 10:13:50.0	3	3		1	0	0	1	Define Variable	4
49	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T24C	1	R3C2	2006-10-26 10:13:50.0	2006-10-26 10:13:55.0	2006-10-26 10:13:55.0	2006-10-26 10:13:55.0	5	5		1	0	0	1	Write expression, any form	4
50	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R1C1	2006-10-26 10:13:58.0	2006-10-26 10:14:17.0	2006-10-26 10:14:44.0	2006-10-26 10:14:44.0	41		41	0	1	1	1		
51	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R1C2	2006-10-26 10:14:44.0	2006-10-26 10:15:12.0	2006-10-26 10:15:12.0	2006-10-26 10:15:12.0	28	28		1	0	0	1		
52	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R2C1	2006-10-26 10:15:12.0	2006-10-26 10:15:53.0	2006-10-26 10:16:10.0	2006-10-26 10:16:10.0	57		57	0	2	1	1	Identifying units	6
53	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	GeneralHelpGoalNode	2006-10-26 10:14:19.0	2006-10-26 10:14:24.0		2006-10-26 10:16:15.0	8		8	0	0	0	0		
54	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R2C2	2006-10-26 10:16:10.0	2006-10-26 10:16:13.0	2006-10-26 10:16:22.0	2006-10-26 10:16:22.0	10		10	0	0	1	1	Identifying units	7
55	JG4Tz	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R4C1	2006-10-26 10:16:22.0	2006-10-26 10:16:28.0	2006-10-26 10:16:36.0	2006-10-26 10:16:36.0	14		14	0	1	0	1	Entering a given	12
